@RELATION comb2_new2

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186}

@data
47,70,11,29,19,163,15
35,67,15,23,12,136,15
52,114,14,60,19,118,15
11,11,12,17,0,14,16
10,7,14,15,0,23,16
11,9,7,22,1,34,16
16,21,8,24,0,48,16
13,19,9,21,10,50,16
21,9,4,23,0,51,16
22,29,12,30,1,76,16
23,25,13,31,0,72,16
19,29,14,19,20,55,16
25,24,14,16,27,71,16
17,19,7,19,34,94,16
24,20,12,16,1,102,16
43,48,13,62,52,117,16
28,6,17,26,20,41,17
17,10,17,14,40,30,17
25,15,17,12,23,34,17
29,13,15,14,21,45,17
29,10,9,17,32,79,17
34,17,22,13,29,80,17
18,20,31,18,32,92,17
39,20,17,25,38,106,17
36,30,18,30,38,113,17
51,19,17,26,57,87,17
57,32,9,38,52,124,17
37,23,12,24,40,143,17
51,57,17,55,39,127,17
17,7,12,23,0,98,18
20,3,7,30,0,103,18
22,5,9,10,0,70,18
17,6,9,17,0,102,18
15,10,10,17,0,119,18
18,2,4,14,0,129,18
23,14,5,21,0,154,18
31,16,9,14,0,127,18
24,28,6,10,0,97,18
39,30,8,9,0,125,18
21,49,16,26,0,170,18
30,55,6,25,1,159,18
64,113,5,58,13,187,18
15,12,18,22,14,51,19
14,16,20,15,10,63,19
15,20,17,21,5,68,19
13,20,16,22,12,88,19
28,29,14,21,22,124,19
31,49,26,46,28,165,19
24,26,16,30,27,149,19
36,43,24,31,50,149,19
32,42,17,21,46,129,19
27,56,26,32,36,123,19
27,42,23,19,15,156,19
32,49,30,26,25,185,19
50,57,27,71,48,167,19
22,23,9,30,5,63,20
13,18,9,11,0,55,20
12,13,4,15,0,86,20
16,12,7,10,0,133,20
14,21,4,20,0,127,20
28,24,8,19,0,110,20
25,33,6,17,0,76,20
28,35,9,25,5,101,20
26,51,11,20,16,180,20
32,35,6,20,13,155,20
36,36,13,14,6,169,20
25,46,7,15,9,122,20
38,162,11,60,18,171,20
9,26,7,9,0,77,21
5,23,9,14,0,74,21
11,25,4,9,0,50,21
25,23,7,9,0,54,21
5,14,2,6,0,44,21
13,19,5,6,0,55,21
21,46,5,20,6,78,21
10,24,1,9,5,17,21
15,44,6,25,11,66,21
15,37,7,15,6,85,21
16,25,2,13,1,53,21
24,43,10,10,4,87,21
16,20,1,16,0,58,21
20,34,4,7,1,101,21
18,30,8,12,0,49,21
27,45,5,14,0,105,21
12,13,6,13,0,24,22
11,5,3,8,0,25,22
15,7,2,12,0,52,22
13,2,0,5,0,18,22
11,1,3,11,0,12,22
5,3,1,7,0,6,22
7,3,5,8,0,12,22
12,6,1,11,0,10,22
13,5,1,6,0,7,22
12,2,1,7,0,15,22
5,5,3,6,0,10,22
25,8,2,4,0,14,22
17,37,2,11,0,17,22
13,9,4,15,0,57,23
14,25,5,25,5,36,23
15,16,1,20,2,36,23
22,16,5,23,0,40,23
30,21,2,23,1,45,23
19,22,5,22,1,45,23
27,29,6,25,3,33,23
20,28,4,29,5,39,23
32,29,5,16,1,43,23
29,30,3,36,1,31,23
37,20,5,11,1,49,23
44,31,6,19,0,55,23
52,48,4,57,2,89,23
6,7,4,11,0,20,24
6,8,5,6,0,23,24
10,5,2,8,0,49,24
13,13,1,9,1,19,24
6,2,1,10,0,9,24
9,5,5,25,1,19,24
13,11,2,19,0,28,24
15,10,1,9,0,16,24
17,6,3,9,0,21,24
10,5,3,2,0,32,24
8,6,1,10,0,20,24
17,18,2,11,1,20,24
20,17,3,29,0,21,24
11,6,4,4,1,7,25
0,6,5,5,1,4,25
9,4,1,2,2,14,25
4,4,4,10,1,14,25
6,5,4,1,1,13,25
10,3,4,5,0,27,25
15,24,5,17,6,0,25
13,9,0,5,1,31,25
7,4,3,8,3,21,25
11,11,1,6,2,19,25
4,8,4,4,1,21,25
15,7,2,3,1,21,25
17,20,1,13,0,47,25
21,17,3,5,0,29,26
32,26,2,1,0,36,26
34,32,4,14,4,33,26
22,7,11,17,0,22,27
27,16,9,15,0,41,27
30,11,7,32,0,34,27
30,13,6,16,0,49,27
12,14,6,4,0,21,28
17,8,4,10,0,28,28
15,4,4,4,0,19,28
16,6,3,6,0,18,28
16,12,6,11,0,22,28
25,12,14,12,0,31,28
30,21,9,15,0,28,28
24,21,9,15,0,28,28
14,26,2,12,0,40,28
30,28,11,19,2,42,28
12,22,6,17,0,38,28
14,34,10,11,0,45,28
23,36,3,41,1,44,28
19,13,12,13,0,46,29
19,10,12,12,1,55,29
30,14,7,13,15,51,29
23,13,13,11,0,39,29
23,14,8,11,1,46,29
25,15,13,14,1,57,29
27,15,6,18,0,71,29
35,17,13,21,0,73,29
37,24,9,12,1,57,29
26,36,5,17,1,74,29
28,23,11,13,2,72,29
33,28,8,14,0,70,29
36,28,5,54,0,154,29
21,49,17,16,2,104,30
20,38,14,12,0,82,30
33,46,13,27,0,107,30
31,39,14,26,0,109,30
37,65,7,27,1,78,30
52,95,6,30,2,93,30
54,82,12,48,2,120,30
51,83,10,52,0,133,30
35,71,13,61,0,140,30
22,40,5,27,4,82,30
39,26,4,24,4,62,30
15,40,4,19,3,74,30
31,26,6,22,0,57,30
33,29,6,17,3,107,30
29,33,3,34,3,53,30
8,9,2,20,0,34,31
17,8,7,14,0,47,31
11,5,2,3,0,37,31
12,8,5,2,0,32,31
18,18,2,21,0,29,31
13,15,6,12,0,23,31
22,10,7,25,0,42,31
24,14,4,19,0,27,31
21,14,3,5,0,23,31
12,22,2,14,0,31,31
16,17,2,10,0,39,31
16,34,3,8,0,46,31
30,39,7,40,0,62,31
38,46,11,46,13,249,32
40,88,16,88,127,145,32
38,47,8,72,175,116,32
48,46,5,33,23,104,32
42,37,5,26,25,85,32
41,61,12,25,17,93,32
58,93,9,25,13,107,32
46,78,10,36,21,92,32
14,12,4,4,5,19,32
39,70,10,31,9,92,32
13,20,4,3,0,37,32
55,108,9,29,11,119,32
11,6,0,4,2,36,32
48,76,14,25,12,109,32
8,10,4,4,4,22,32
69,99,10,30,14,135,32
11,21,4,5,1,23,32
6,4,2,3,0,3,33
10,4,3,7,0,11,33
11,6,6,8,0,12,33
8,2,3,1,0,21,33
15,6,1,5,0,18,33
17,5,1,9,0,9,33
20,3,6,5,0,22,33
13,9,3,6,0,12,33
13,9,8,13,1,11,33
22,9,7,2,1,23,33
14,5,4,5,0,13,33
22,10,3,9,0,23,33
18,9,1,16,2,23,33
11,9,6,8,2,25,34
4,7,7,7,0,14,34
9,8,3,16,0,17,34
11,9,7,5,0,18,34
9,11,3,6,1,13,34
11,22,1,24,0,25,34
7,14,4,20,5,30,34
19,17,3,19,0,22,34
18,12,2,19,1,24,34
18,13,3,10,0,22,34
12,12,5,3,0,26,34
23,10,3,14,0,25,34
29,35,5,22,0,24,34
3,2,1,2,0,16,35
8,1,8,3,0,13,35
9,3,1,12,0,10,35
7,7,1,6,0,24,35
18,15,3,18,0,34,35
14,10,5,5,0,17,35
11,13,4,11,0,13,35
12,8,3,6,0,19,35
20,8,2,2,0,14,35
12,10,3,5,1,23,35
17,14,7,8,0,16,35
18,28,3,10,2,30,35
18,42,3,20,1,39,35
10,12,5,2,0,21,36
13,11,7,2,0,25,36
11,15,0,10,0,32,36
23,46,10,128,19,232,37
18,29,14,45,0,119,37
33,30,6,28,0,138,37
20,32,9,24,2,96,37
19,20,8,30,2,82,37
29,23,4,27,1,39,37
22,14,17,22,0,109,37
35,37,13,17,0,116,37
28,46,12,20,0,152,37
26,31,9,35,1,139,37
25,26,13,22,0,95,37
44,32,4,24,0,86,37
56,56,11,84,2,159,37
6,6,5,13,4,33,38
6,6,6,17,6,25,38
10,9,8,14,3,41,38
8,8,0,12,3,29,38
18,10,6,16,2,29,38
8,7,5,9,1,21,38
7,5,2,11,0,24,38
10,9,2,18,1,27,38
13,14,3,9,3,20,38
14,14,2,14,2,20,38
14,16,5,9,1,18,38
22,18,0,13,3,15,38
30,42,4,29,0,27,38
10,6,6,0,2,3,39
16,23,0,0,0,0,39
20,18,3,0,0,0,39
23,27,6,15,5,32,39
17,23,3,18,0,42,39
24,27,4,13,3,76,39
23,33,7,31,0,127,39
51,51,10,92,0,191,39
15,18,10,18,4,36,40
14,17,6,19,4,52,40
19,14,12,14,2,56,40
21,10,3,13,4,42,40
11,15,7,14,1,43,40
24,10,7,18,4,46,40
31,17,5,31,2,51,40
34,13,4,15,3,62,40
25,12,9,6,2,60,40
31,7,8,18,0,51,40
30,11,14,10,0,36,40
34,31,7,24,3,40,40
56,39,11,48,2,63,40
14,3,2,9,0,28,41
12,6,2,4,0,43,41
17,8,6,5,1,18,41
8,6,4,6,3,14,41
21,13,0,3,0,25,41
21,8,1,13,1,31,41
10,10,8,11,0,27,42
12,10,4,5,0,20,42
