@relation HARYANA

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}

@data
19,29,14,19,20,55,17
25,24,14,16,27,71,17
17,19,7,19,34,94,17
24,20,12,16,1,102,17
43,48,13,62,52,117,17
28,6,17,26,20,41,18
17,10,17,14,40,30,18
25,15,17,12,23,34,18
29,13,15,14,21,45,18
29,10,9,17,32,79,18
34,17,22,13,29,80,18
18,20,31,18,32,92,18
39,20,17,25,38,106,18
36,30,18,30,38,113,18
51,19,17,26,57,87,18
57,32,9,38,52,124,18
37,23,12,24,40,143,18
51,57,17,55,39,127,18
17,7,12,23,0,98,19
20,3,7,30,0,103,19
22,5,9,10,0,70,19
17,6,9,17,0,102,19
15,10,10,17,0,119,19
18,2,4,14,0,129,19
23,14,5,21,0,154,19
31,16,9,14,0,127,19
24,28,6,10,0,97,19
39,30,8,9,0,125,19
21,49,16,26,0,170,19
30,55,6,25,1,159,19
64,113,5,58,13,187,19
15,12,18,22,14,51,20
14,16,20,15,10,63,20
15,20,17,21,5,68,20
13,20,16,22,12,88,20
28,29,14,21,22,124,20
31,49,26,46,28,165,20
24,26,16,30,27,149,20
36,43,24,31,50,149,20
32,42,17,21,46,129,20
27,56,26,32,36,123,20
27,42,23,19,15,156,20
32,49,30,26,25,185,20
50,57,27,71,48,167,20
22,23,9,30,5,63,21
13,18,9,11,0,55,21
12,13,4,15,0,86,21
16,12,7,10,0,133,21
14,21,4,20,0,127,21
28,24,8,19,0,110,21
25,33,6,17,0,76,21
28,35,9,25,5,101,21
26,51,11,20,16,180,21
32,35,6,20,13,155,21
36,36,13,14,6,169,21
25,46,7,15,9,122,21
38,162,11,60,18,171,21
