@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
15,102,4,41,9,80,13,14
38,10,11,16,11,92,1,15
43,21,9,22,20,193,2,15
38,9,13,17,22,165,3,15
38,8,4,14,8,152,4,15
56,21,11,11,10,127,5,15
65,29,19,18,13,104,6,15
34,24,11,13,18,63,7,15
30,34,13,16,17,62,8,15
45,31,19,26,44,117,9,15
55,49,13,22,30,175,10,15
47,70,11,29,19,163,11,15
35,67,15,23,12,136,12,15
52,114,14,60,19,118,13,15
11,11,12,17,0,14,1,16
10,7,14,15,0,23,2,16
11,9,7,22,1,34,3,16
16,21,8,24,0,48,4,16
13,19,9,21,10,50,5,16
21,9,4,23,0,51,6,16
22,29,12,30,1,76,7,16
23,25,13,31,0,72,8,16
19,29,14,19,20,55,9,16
25,24,14,16,27,71,10,16
17,19,7,19,34,94,11,16
24,20,12,16,1,102,12,16
43,48,13,62,52,117,13,16
28,6,17,26,20,41,1,17
17,10,17,14,40,30,2,17
25,15,17,12,23,34,3,17
29,13,15,14,21,45,4,17
29,10,9,17,32,79,5,17
34,17,22,13,29,80,6,17
18,20,31,18,32,92,7,17
39,20,17,25,38,106,8,17
36,30,18,30,38,113,9,17
51,19,17,26,57,87,10,17
57,32,9,38,52,124,11,17
37,23,12,24,40,143,12,17
51,57,17,55,39,127,13,17
17,7,12,23,0,98,1,18
20,3,7,30,0,103,2,18
22,5,9,10,0,70,3,18
17,6,9,17,0,102,4,18
15,10,10,17,0,119,5,18
18,2,4,14,0,129,6,18
23,14,5,21,0,154,7,18
31,16,9,14,0,127,8,18
24,28,6,10,0,97,9,18
39,30,8,9,0,125,10,18
21,49,16,26,0,170,11,18
30,55,6,25,1,159,12,18
64,113,5,58,13,187,13,18
15,12,18,22,14,51,1,19
14,16,20,15,10,63,2,19
15,20,17,21,5,68,3,19
13,20,16,22,12,88,4,19
28,29,14,21,22,124,5,19
31,49,26,46,28,165,6,19
24,26,16,30,27,149,7,19
36,43,24,31,50,149,8,19
32,42,17,21,46,129,9,19
27,56,26,32,36,123,10,19
27,42,23,19,15,156,11,19
32,49,30,26,25,185,12,19
50,57,27,71,48,167,13,19
22,23,9,30,5,63,1,20
13,18,9,11,0,55,2,20
12,13,4,15,0,86,3,20
16,12,7,10,0,133,4,20
14,21,4,20,0,127,5,20
28,24,8,19,0,110,6,20
25,33,6,17,0,76,7,20
28,35,9,25,5,101,8,20
26,51,11,20,16,180,9,20
32,35,6,20,13,155,10,20
36,36,13,14,6,169,11,20
25,46,7,15,9,122,12,20
38,162,11,60,18,171,13,20
9,26,7,9,0,77,1,21
5,23,9,14,0,74,2,21
11,25,4,9,0,50,3,21
25,23,7,9,0,54,4,21
5,14,2,6,0,44,5,21
13,19,5,6,0,55,6,21
21,46,5,20,6,78,7,21
