@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
61,60,7,150,11,210,2,61
50,51,11,141,1,191,3,61
40,61,4,167,5,258,4,61
40,46,6,160,6,199,5,61
42,51,10,151,3,189,6,61
54,35,10,113,0,222,7,61
44,44,6,144,2,262,8,61
55,45,7,215,3,379,9,61
62,48,6,187,4,303,10,61
67,55,14,201,3,385,11,61
81,76,5,205,2,434,12,61
117,113,5,307,5,478,13,61
19,25,0,50,0,125,1,62
12,31,15,65,0,122,2,62
27,33,7,50,0,102,3,62
26,22,14,55,0,132,4,62
31,15,11,45,0,98,5,62
44,13,17,38,0,157,6,62
31,25,18,39,0,204,7,62
40,35,22,32,0,240,8,62
41,50,13,39,0,280,9,62
49,50,15,45,0,251,10,62
51,59,21,68,0,284,11,62
45,55,17,44,0,347,12,62
72,72,12,40,0,405,13,62
20,53,12,128,3,263,1,63
33,76,17,157,5,267,2,63
34,62,15,96,4,282,3,63
19,53,15,101,2,270,4,63
29,58,16,98,5,221,5,63
20,13,11,16,0,296,6,63
20,49,1,51,0,205,7,63
19,15,17,59,0,58,8,63
24,15,15,49,0,70,9,63
32,21,17,47,0,81,10,63
27,29,19,43,0,97,11,63
17,39,11,29,0,132,12,63
26,35,17,28,0,133,12,63
27,28,16,26,0,121,12,63
50,49,11,88,0,166,13,63
20,23,5,27,0,5,13,63
50,55,6,90,0,168,13,63
21,50,10,37,0,66,1,64
21,31,15,57,0,55,2,64
34,50,13,80,0,73,3,64
45,46,11,70,0,87,4,64
22,41,14,40,0,116,5,64
29,31,19,39,0,99,6,64
28,43,18,35,0,110,7,64
33,32,11,27,0,99,8,64
46,49,14,25,0,138,9,64
42,72,12,24,0,157,10,64
38,78,18,18,0,174,11,64
44,77,15,7,0,196,12,64
48,77,13,79,0,179,13,64
50,116,17,203,6,319,1,65
37,132,6,154,3,319,2,65
35,115,9,146,2,307,3,65
42,124,10,186,1,400,4,65
40,93,5,154,1,361,5,65
18,70,12,49,3,272,6,65
25,66,10,41,1,261,7,65
24,55,10,40,1,307,8,65
23,76,7,51,0,376,9,65
33,74,2,50,0,369,10,65
24,74,5,58,0,413,11,65
45,62,5,73,0,428,12,65
86,154,6,101,5,512,13,65
19,19,4,91,3,132,6,65
30,30,5,73,0,173,7,65
34,26,4,76,0,201,8,65
29,32,4,99,3,230,9,65
36,35,2,67,0,199,10,65
44,50,5,98,0,235,11,65
42,44,6,105,2,200,12,65
45,65,0,166,0,247,13,65
22,34,14,65,0,102,1,66
39,28,14,78,0,153,2,66
32,27,10,115,0,128,3,66
25,29,16,160,0,154,4,66
33,40,15,169,0,136,5,66
35,37,12,193,0,221,6,66
38,37,12,119,0,252,7,66
33,48,18,142,0,257,8,66
53,76,6,117,0,302,9,66
60,57,22,86,0,348,10,66
70,60,14,66,0,398,11,66
53,106,11,66,0,416,12,66
97,106,20,110,0,500,13,66
25,61,15,115,2,196,1,67
25,59,14,116,3,205,2,67
27,65,9,184,1,190,3,67
31,83,12,127,0,239,4,67
36,59,8,145,1,211,5,67
30,62,10,131,1,220,6,67
39,62,5,108,0,268,7,67
43,79,13,116,1,323,8,67
48,92,8,77,4,403,9,67
53,98,9,75,0,442,10,67
64,88,11,84,0,451,11,67
61,104,9,75,1,464,12,67
92,138,16,222,0,512,13,67
49,52,2,51,0,138,8,68
54,59,2,50,0,180,9,68
56,56,7,69,0,173,10,68
103,77,7,65,0,212,11,68
137,78,2,79,0,276,12,68
200,138,6,171,0,333,13,68
13,63,6,40,1,104,1,69
9,44,7,38,0,74,2,69
12,53,2,32,2,106,3,69
7,27,3,29,1,131,4,69
8,37,0,29,2,117,5,69
6,30,2,37,1,159,6,69
5,36,6,28,1,189,7,69
12,34,0,35,0,195,8,69
11,42,3,46,2,205,9,69
14,25,4,41,0,233,10,69
14,44,2,61,0,234,11,69
14,53,5,40,1,263,12,69
40,67,9,72,1,271,13,69
19,42,6,49,0,97,1,70
21,37,2,59,0,113,2,70
21,27,10,56,0,112,3,70
28,38,13,45,0,113,4,70
23,29,8,28,0,114,5,70
20,35,7,44,0,136,6,70
21,36,13,33,0,131,7,70
16,39,6,29,0,144,8,70
17,66,10,18,0,171,9,70
16,65,0,26,0,179,10,70
24,72,4,43,0,201,11,70
19,75,6,39,0,213,12,70
39,68,5,60,0,206,13,70
13,22,15,28,0,114,1,71
13,27,10,42,0,116,2,71
15,22,17,44,0,111,3,71
18,39,17,38,0,120,4,71
21,44,12,22,0,137,5,71
29,34,9,31,0,165,6,71
34,42,19,32,0,183,7,71
40,38,15,18,0,217,8,71
36,59,21,18,0,323,9,71
52,86,12,11,0,313,10,71
50,69,26,11,0,232,11,71
55,62,18,22,0,322,12,71
73,133,13,50,0,397,13,71
22,19,8,29,0,79,1,72
9,37,3,33,0,83,2,72
11,32,6,37,0,97,3,72
14,31,6,44,1,86,4,72
23,21,4,51,0,104,5,72
20,25,7,50,1,99,6,72
23,32,5,51,0,130,7,72
17,36,5,66,0,110,8,72
18,25,4,64,1,132,9,72
20,27,6,63,0,175,10,72
27,52,5,76,0,156,11,72
29,64,4,74,1,180,12,72
47,61,8,109,0,213,13,72
55,65,13,118,2,375,1,73
54,52,19,100,1,391,2,73
75,47,16,69,0,352,3,73
50,61,20,46,2,450,4,73
45,47,10,58,0,373,5,73
39,35,16,64,1,457,6,73
66,44,11,64,2,625,7,73
70,43,16,59,2,276,8,73
89,56,13,61,1,646,9,73
72,94,18,74,2,659,10,73
99,68,19,73,1,653,11,73
77,73,21,58,2,803,12,73
151,139,20,127,3,957,13,73
17,50,7,84,6,142,1,74
18,72,1,45,3,169,2,74
11,48,5,45,1,179,3,74
14,45,5,30,2,205,4,74
18,52,1,37,1,188,5,74
12,50,5,18,2,249,6,74
19,50,3,20,1,212,7,74
22,46,6,41,3,206,8,74
20,42,4,26,0,252,9,74
18,44,4,19,1,338,10,74
25,75,5,23,0,315,11,74
19,66,3,24,2,309,12,74
33,76,5,75,8,352,13,74
43,118,9,68,2,127,1,75
39,75,12,71,0,95,2,75
35,72,5,65,2,136,3,75
57,115,14,102,2,199,4,75
45,88,11,101,1,205,5,75
74,98,7,99,1,258,6,75
94,108,10,189,2,297,7,75
91,148,11,159,0,294,8,75
109,156,15,159,4,353,9,75
111,151,14,192,6,327,10,75
110,162,14,150,0,444,11,75
149,163,9,174,0,499,12,75
167,265,10,336,0,598,13,75
66,132,63,110,114,327,1,76
41,102,50,86,82,372,2,76
27,73,55,59,55,183,3,76
32,106,70,87,89,282,4,76
29,77,38,80,162,232,5,76
26,134,63,133,152,351,6,76
30,149,78,82,107,380,7,76
42,183,77,123,109,479,8,76
40,185,83,97,85,381,9,76
26,212,80,91,0,355,10,76
76,328,87,196,0,341,11,76
58,255,88,134,0,320,12,76
78,335,98,239,0,399,13,76
50,78,44,90,54,258,1,77
31,69,38,72,21,169,2,77
24,60,33,27,14,108,3,77
58,87,36,45,31,228,4,77
61,84,43,38,43,226,5,77
49,90,50,43,39,179,6,77
50,96,70,74,37,237,7,77
62,124,58,37,74,213,8,77
58,214,54,109,48,294,9,77
63,237,69,164,0,318,10,77
66,265,73,194,0,256,11,77
64,263,71,101,0,268,12,77
99,346,73,300,0,455,13,77
42,75,56,85,105,226,1,78
40,63,63,57,55,147,2,78
21,19,40,12,27,77,3,78
23,53,57,24,35,148,4,78
17,50,40,30,47,117,5,78
22,64,46,40,46,156,6,78
26,81,63,40,48,207,7,78
49,124,68,91,55,259,8,78
38,126,70,59,51,289,9,78
33,116,84,55,0,177,10,78
67,190,75,93,1,266,11,78
52,202,63,79,0,247,12,78
102,239,66,215,0,322,13,78
19,29,14,15,9,87,1,79
10,34,16,16,11,30,2,79
7,15,10,6,7,16,3,79
10,26,4,6,5,26,4,79
11,31,13,14,9,42,5,79
10,42,15,20,14,83,6,79
15,24,8,10,17,139,7,79
18,45,13,20,20,133,8,79
19,49,15,9,19,102,9,79
20,56,18,14,0,98,10,79
16,74,16,33,0,88,11,79
12,61,9,10,0,75,12,79
15,55,17,16,0,4,13,79
38,110,16,83,0,35,13,80
23,92,16,57,0,171,13,81
11,25,21,13,7,26,1,82
10,17,29,20,4,42,2,82
4,10,16,11,24,13,3,82
4,21,20,11,2,16,4,82
9,22,22,15,8,26,5,82
10,25,22,13,6,22,6,82
9,26,34,17,10,29,7,82
11,27,12,7,14,36,8,82
11,35,26,20,16,30,9,82
11,40,17,19,0,36,10,82
15,73,25,14,0,26,11,82
13,87,18,27,0,40,12,82
16,70,28,38,0,68,13,82
11,41,32,14,15,81,1,83
7,7,23,27,23,72,2,83
6,23,16,18,39,45,3,83
16,37,27,23,10,150,4,83
10,32,27,26,24,156,5,83
13,20,29,13,24,68,6,83
11,29,29,15,26,55,7,83
24,56,35,17,35,86,8,83
17,64,31,26,31,83,9,83
23,65,23,17,0,70,10,83
28,101,27,27,0,49,11,83
19,101,25,28,0,101,12,83
39,135,36,20,0,155,13,83
47,41,62,51,14,76,1,84
31,46,44,48,5,63,2,84
31,40,28,29,89,15,3,84
35,43,50,47,19,37,4,84
22,60,32,39,22,47,5,84
29,42,33,38,11,34,6,84
11,40,31,29,18,25,7,84
11,41,32,27,47,25,8,84
29,67,43,28,18,55,9,84
22,69,48,49,0,41,10,84
18,115,48,62,0,59,11,84
24,101,47,48,0,65,12,84
54,128,58,102,0,58,13,84
15,17,20,18,12,64,1,85
15,15,17,14,16,45,2,85
12,14,10,9,45,23,3,85
11,18,16,12,22,56,4,85
13,26,10,15,19,74,5,85
12,27,12,11,24,60,6,85
17,27,22,10,22,60,7,85
19,43,15,16,8,61,8,85
15,45,16,6,20,72,9,85
14,41,14,13,0,87,10,85
12,74,17,35,0,106,11,85
18,74,19,26,0,76,12,85
25,72,12,56,0,106,13,85
14,19,19,15,17,62,1,86
14,17,16,10,8,0,2,86
5,8,7,8,271,17,3,86
16,26,16,12,35,24,4,86
25,39,21,20,38,21,5,86
21,33,24,25,15,35,6,86
34,44,28,20,25,37,7,86
24,62,27,24,22,37,8,86
38,86,32,33,27,72,9,86
25,127,42,40,1,83,10,86
57,128,62,49,0,55,11,86
27,111,38,28,0,4,12,86
35,140,42,44,0,1,13,86
18,17,19,7,22,35,1,87
7,14,16,12,45,23,2,87
2,3,8,8,25,8,3,87
6,12,11,15,13,33,4,87
2,4,12,7,5,11,5,87
10,8,11,8,14,20,6,87
10,18,13,10,10,11,7,87
12,27,20,15,12,43,8,87
9,25,31,19,9,53,9,87
4,28,30,14,0,24,10,87
7,64,17,21,0,27,11,87
12,79,28,22,0,51,12,87
18,123,24,107,0,4,13,87
8,19,12,23,11,30,1,88
13,9,5,9,5,11,2,88
3,4,3,1,45,6,3,88
5,5,3,8,13,8,4,88
6,5,4,9,4,7,5,88
8,11,9,11,3,15,6,88
10,17,10,12,4,38,7,88
12,20,5,12,10,13,8,88
8,23,10,11,6,34,9,88
11,27,5,7,0,16,10,88
10,50,16,13,0,0,11,88
12,53,5,17,0,4,12,88
23,65,7,24,0,8,13,88
27,18,21,51,18,50,1,89
20,6,21,31,9,43,2,89
10,6,13,15,17,10,3,89
21,8,27,37,8,17,4,89
16,10,22,32,5,12,5,89
15,9,17,20,6,15,6,89
15,12,16,49,14,14,7,89
35,26,36,70,19,67,8,89
23,32,24,42,11,44,9,89
22,34,20,39,0,37,10,89
26,48,29,56,0,31,11,89
22,48,36,58,0,51,12,89
47,113,32,151,0,129,13,89
41,55,35,37,21,188,1,90
32,39,27,29,9,171,2,90
12,19,16,11,50,27,3,90
25,37,25,27,12,48,4,90
30,29,21,29,35,59,5,90
21,49,25,41,48,67,6,90
25,63,35,28,34,106,7,90
23,82,47,34,54,110,8,90
19,106,39,34,50,104,9,90
22,90,20,34,0,97,10,90
36,142,25,51,0,51,11,90
31,120,31,39,0,114,12,90
39,78,26,39,0,98,13,90
93,98,57,110,40,421,1,91
65,93,62,70,54,261,2,91
32,47,37,27,78,84,3,91
41,84,44,76,73,201,4,91
48,81,37,89,74,210,5,91
45,81,31,70,64,196,6,91
62,95,54,97,99,235,7,91
46,121,47,110,89,202,8,91
77,153,47,125,96,303,9,91
44,163,55,97,0,214,10,91
34,193,63,92,0,155,11,91
86,249,61,112,0,88,12,91
84,291,58,198,0,257,13,91
18,23,22,28,12,48,1,92
16,27,24,13,20,31,2,92
5,11,14,9,161,15,3,92
7,21,17,12,28,21,4,92
13,13,7,8,20,22,5,92
10,15,12,8,21,30,6,92
10,22,13,8,39,51,7,92
7,18,15,5,15,24,8,92
12,22,15,3,0,12,9,92
8,30,14,7,0,17,10,92
7,28,11,5,0,17,11,92
7,55,21,17,0,69,12,92
24,80,11,53,0,44,13,92
34,105,29,43,0,61,11,93
23,91,27,30,0,64,12,93
38,59,31,67,38,230,1,94
26,49,34,34,33,156,2,94
20,23,24,23,254,50,3,94
25,29,21,23,47,132,4,94
22,26,26,26,45,60,5,94
25,46,18,25,75,105,6,94
27,48,26,33,75,188,7,94
30,80,19,52,53,249,8,94
30,75,22,46,44,225,9,94
40,100,27,56,0,254,10,94
39,118,30,14,0,238,11,94
43,148,19,43,0,257,12,94
71,149,31,178,1,6,13,94
31,64,45,71,219,227,1,95
33,60,47,70,104,185,2,95
13,30,25,26,98,105,3,95
40,69,36,51,114,106,4,95
33,60,41,62,116,106,5,95
27,49,33,63,150,102,6,95
44,93,36,75,120,227,7,95
28,60,29,51,74,151,8,95
38,81,53,36,24,184,9,95
24,127,40,60,0,327,10,95
47,192,50,94,0,362,11,95
46,164,48,63,2,304,12,95
97,255,52,197,2,162,13,95
4,11,16,13,0,22,1,96
6,6,14,11,8,24,2,96
3,2,11,5,14,3,3,96
5,3,10,2,12,18,4,96
6,3,9,5,50,10,5,96
3,12,12,5,41,41,6,96
6,12,22,8,34,63,7,96
4,9,19,10,19,91,8,96
3,18,13,4,4,88,9,96
3,12,15,6,0,67,10,96
8,19,17,7,0,48,11,96
11,32,14,23,0,37,12,96
20,46,16,68,1,0,13,96
8,3,8,16,4,2,1,97
8,2,9,23,2,10,2,97
10,0,6,7,0,7,3,97
10,4,8,9,2,5,4,97
10,0,12,12,0,6,5,97
13,3,9,9,0,8,6,97
23,2,7,14,1,13,7,97
22,5,17,21,0,17,8,97
20,10,9,22,1,12,9,97
15,13,15,23,0,16,10,97
20,22,14,24,0,11,11,97
31,27,22,35,0,23,12,97
23,22,14,35,0,7,13,97
30,75,13,17,0,9,10,98
20,96,17,40,0,53,11,98
26,92,12,52,0,56,12,98
7,33,27,15,15,44,1,99
5,18,15,10,10,18,2,99
3,12,21,7,9,14,3,99
12,23,16,10,13,31,4,99
7,17,17,7,5,27,5,99
5,14,23,8,2,23,6,99
2,17,25,8,3,25,7,99
15,13,36,6,17,27,8,99
9,38,30,15,12,32,9,99
4,18,21,4,0,9,10,99
8,53,27,12,0,24,11,99
18,67,29,16,0,34,12,99
44,145,37,87,0,27,13,99
57,59,68,68,24,156,1,100
37,49,81,43,15,85,2,100
18,23,38,19,15,37,3,100
26,26,47,44,7,61,4,100
16,33,43,34,26,62,5,100
28,26,46,26,31,55,6,100
39,66,56,48,22,77,7,100
20,66,34,41,17,71,8,100
18,45,42,37,13,92,9,100
11,60,30,45,0,72,10,100
19,61,30,25,0,57,11,100
22,99,38,62,0,82,12,100
34,101,32,122,1,99,13,100
20,22,29,25,26,52,1,101
12,21,25,32,11,32,2,101
2,9,16,12,6,18,3,101
9,25,13,15,10,46,4,101
12,28,29,20,35,26,5,101
10,36,30,18,22,30,6,101
14,54,28,31,37,115,7,101
19,64,28,43,29,108,8,101
5,62,35,42,39,112,9,101
4,44,29,19,0,81,10,101
13,73,42,28,0,52,11,101
9,64,26,26,0,42,12,101
23,74,30,30,0,62,13,101
22,26,17,24,18,49,1,102
15,17,12,18,24,33,2,102
10,11,4,6,42,2,3,102
12,17,14,18,25,24,4,102
11,33,15,13,29,48,5,102
14,28,12,18,24,54,6,102
23,32,17,23,37,54,7,102
23,56,18,26,43,86,8,102
22,69,18,27,21,38,9,102
16,69,18,27,0,16,10,102
27,114,11,56,0,21,11,102
29,133,18,32,0,7,12,102
35,135,11,79,1,7,13,102
9,38,22,23,28,93,1,103
9,25,32,0,0,0,2,103
7,9,18,9,68,19,3,103
10,27,21,13,14,35,4,103
10,20,14,7,15,26,5,103
9,24,37,10,9,30,6,103
21,41,24,32,16,79,7,103
23,41,26,35,56,84,8,103
17,61,23,30,16,61,9,103
11,55,24,26,0,30,10,103
16,83,25,35,0,59,11,103
14,94,34,39,0,71,12,103
25,95,34,30,0,38,13,103
28,27,46,25,15,59,1,104
12,19,26,18,12,44,2,104
3,14,24,4,19,15,3,104
10,16,23,19,19,17,4,104
7,18,22,11,9,21,5,104
9,20,27,14,21,18,6,104
22,38,33,29,21,61,7,104
16,42,41,32,15,67,8,104
28,44,38,39,13,51,9,104
33,57,42,53,2,83,10,104
40,92,45,55,0,45,11,104
35,106,41,65,0,56,12,104
42,112,39,87,0,80,13,104
22,59,48,33,69,89,1,105
26,51,36,37,46,105,2,105
12,32,30,33,89,51,3,105
10,37,48,33,33,89,4,105
17,44,48,16,42,57,5,105
16,57,35,29,38,106,6,105
28,69,56,58,51,155,7,105
27,78,41,43,77,77,8,105
26,95,47,59,35,130,9,105
18,78,54,33,0,83,10,105
32,144,43,57,0,83,11,105
32,149,50,49,0,98,12,105
39,187,66,112,0,165,13,105
2,2,1,18,71,1,1,106
2,4,0,11,31,0,2,106
3,1,0,6,24,0,3,106
2,2,0,15,38,0,4,106
3,1,1,15,26,0,5,106
1,3,0,18,24,0,6,106
2,3,2,12,23,0,7,106
2,8,0,18,38,0,8,106
1,0,1,10,57,0,9,106
1,6,3,20,0,0,10,106
2,6,1,38,0,0,11,106
3,7,2,36,0,0,12,106
3,28,3,84,0,1,13,106
16,30,17,39,40,54,1,107
19,29,17,20,30,42,2,107
10,19,14,13,19,23,3,107
20,26,14,24,56,39,4,107
18,42,14,28,43,45,5,107
26,31,13,35,57,59,6,107
17,64,14,41,51,73,7,107
22,49,25,19,53,68,8,107
24,60,22,40,46,103,9,107
39,77,19,41,0,132,10,107
25,95,25,42,0,102,11,107
19,115,17,50,0,142,12,107
39,150,31,136,6,164,13,107
31,79,33,54,138,140,1,108
20,69,21,35,108,176,2,108
15,49,17,18,65,97,3,108
25,88,35,31,94,142,4,108
24,79,33,26,92,147,5,108
29,86,41,26,93,190,6,108
33,108,37,30,85,204,7,108
30,138,39,30,83,202,8,108
53,321,66,88,182,556,9,108
44,285,69,77,0,536,10,108
22,219,47,59,0,255,11,108
31,220,41,60,0,277,12,108
84,289,44,233,0,491,13,108
6,19,22,18,29,56,1,109
4,7,14,12,12,50,2,109
2,8,11,3,24,24,3,109
4,8,17,19,15,49,4,109
2,3,19,7,20,35,5,109
8,11,22,8,17,33,6,109
10,10,22,11,23,68,7,109
6,22,33,17,15,64,8,109
3,16,29,12,22,63,9,109
5,15,32,12,0,41,10,109
11,18,35,16,0,26,11,109
9,53,32,16,0,60,12,109
22,93,27,59,1,76,13,109
18,21,26,19,13,46,1,110
11,23,29,20,16,27,2,110
5,8,16,3,215,4,3,110
14,21,15,12,63,2,4,110
12,15,26,14,23,6,5,110
22,35,28,27,23,7,6,110
13,33,35,18,9,10,7,110
27,44,43,39,10,12,8,110
29,74,42,28,12,3,9,110
9,67,47,30,0,6,10,110
34,116,27,29,0,6,11,110
23,103,37,40,0,5,12,110
24,149,32,62,0,4,13,110
13,52,16,25,36,52,1,111
27,39,30,28,19,56,2,111
13,32,18,22,25,36,3,111
24,37,25,26,43,79,4,111
24,27,16,22,25,18,5,111
23,39,16,24,45,70,6,111
19,51,23,22,76,83,7,111
46,117,43,30,43,216,8,111
43,94,50,44,47,255,9,111
45,199,61,69,0,266,10,111
50,215,41,71,0,224,11,111
52,207,53,56,0,180,12,111
87,282,39,111,0,95,13,111
14,16,22,32,7,25,1,112
9,6,17,34,4,28,2,112
10,4,12,15,5,2,3,112
12,9,16,23,6,7,4,112
9,10,6,17,11,10,5,112
8,5,12,16,7,11,6,112
8,7,9,16,5,5,7,112
9,19,13,13,5,10,8,112
16,18,20,21,9,22,9,112
6,13,15,25,0,22,10,112
12,38,15,33,0,20,11,112
25,40,17,37,0,28,12,112
50,68,15,117,5,0,13,112
35,71,21,75,0,52,13,113
70,60,63,86,21,136,1,114
39,36,26,54,36,72,2,114
24,31,18,30,83,37,3,114
37,50,44,68,76,64,4,114
31,32,25,51,48,47,5,114
30,37,35,55,26,53,6,114
33,38,42,45,26,57,7,114
42,60,50,67,30,68,8,114
29,87,45,61,13,73,9,114
20,73,24,50,0,55,10,114
24,123,32,55,0,72,11,114
30,133,48,54,0,87,12,114
28,130,24,131,0,122,13,114
16,26,31,63,26,93,1,115
25,30,21,41,12,107,2,115
21,23,10,19,21,74,3,115
16,26,24,39,21,134,4,115
12,20,20,34,35,86,5,115
23,30,22,50,28,64,6,115
16,50,17,48,26,179,7,115
17,37,27,43,18,92,8,115
22,52,23,33,8,146,9,115
24,60,30,45,0,107,10,115
35,77,24,42,0,84,11,115
17,71,18,39,0,91,12,115
37,86,21,73,0,76,13,115
23,36,14,35,22,98,1,116
15,27,10,22,10,80,2,116
6,14,13,4,121,24,3,116
27,19,6,26,30,66,4,116
22,14,8,30,40,20,5,116
21,23,14,22,57,46,6,116
28,34,12,34,34,85,7,116
20,34,16,26,37,40,8,116
26,36,16,21,39,69,9,116
24,52,21,25,0,69,10,116
44,50,16,21,0,83,11,116
34,58,19,31,0,82,12,116
6,14,29,40,21,65,1,117
4,14,22,19,17,22,2,117
6,8,22,11,13,15,3,117
7,13,28,17,22,20,4,117
3,8,21,13,37,17,5,117
4,20,36,31,18,46,6,117
8,19,32,42,37,43,7,117
6,30,37,34,24,47,8,117
11,27,34,41,15,43,9,117
5,28,23,28,0,32,10,117
7,47,40,18,0,22,11,117
15,57,40,32,0,47,12,117
7,52,22,52,0,33,13,117
11,15,43,21,19,85,1,118
8,15,23,18,10,45,2,118
4,13,22,6,45,29,3,118
19,17,29,9,21,63,4,118
13,21,26,15,32,40,5,118
18,21,46,26,34,83,6,118
24,33,47,28,44,71,7,118
19,41,44,38,39,161,8,118
18,68,47,30,25,136,9,118
12,60,39,32,0,57,10,118
14,90,42,22,0,41,11,118
15,111,51,18,0,55,12,118
53,131,60,75,0,77,13,118
18,20,31,32,30,69,1,119
14,11,14,21,2,42,2,119
4,8,8,4,209,5,3,119
16,29,25,21,36,53,4,119
3,9,13,14,37,38,5,119
8,6,21,19,45,18,6,119
10,13,28,38,55,20,7,119
7,18,26,24,46,11,8,119
14,36,27,33,35,9,9,119
9,32,32,43,1,7,10,119
19,92,28,45,0,52,11,119
19,63,33,34,0,53,12,119
40,74,24,72,1,65,13,119
8,19,22,18,7,63,1,120
6,16,15,10,2,37,2,120
4,22,16,14,28,29,3,120
5,17,22,22,10,63,4,120
5,27,10,20,13,62,5,120
6,34,19,31,20,41,6,120
6,26,13,32,9,108,7,120
11,36,31,27,9,91,8,120
8,48,25,28,8,85,9,120
7,43,22,23,0,39,10,120
14,101,34,49,0,98,11,120
12,75,27,36,0,106,12,120
16,84,26,40,0,59,13,120
21,34,39,45,7,79,1,121
13,31,37,26,3,73,2,121
6,20,22,15,118,19,3,121
13,36,25,45,19,39,4,121
8,44,26,32,20,53,5,121
16,25,50,40,18,41,6,121
13,52,37,51,17,114,7,121
26,56,31,64,24,185,8,121
17,82,22,34,16,113,9,121
29,74,32,45,0,67,13,121
47,176,64,106,213,356,1,122
30,126,50,75,123,307,2,122
24,57,43,40,147,94,3,122
20,83,46,40,239,202,4,122
18,90,51,43,227,205,5,122
27,87,67,64,179,273,6,122
46,222,59,102,165,673,7,122
72,227,86,136,578,632,8,122
40,227,73,109,210,551,9,122
42,263,92,118,7,447,10,122
71,303,69,140,2,284,11,122
55,281,56,110,0,317,12,122
41,248,56,110,0,239,13,122
19,29,30,31,5,31,8,123
15,30,29,22,5,26,9,123
10,35,26,23,0,28,10,123
22,47,22,33,0,21,11,123
18,56,26,36,0,26,12,123
17,89,24,43,0,27,13,124
26,23,28,44,9,72,1,125
28,15,13,25,2,32,2,125
17,4,16,7,9,5,3,125
14,8,19,9,9,43,4,125
9,7,13,11,7,21,5,125
15,14,17,12,19,26,6,125
30,36,35,27,16,72,7,125
26,42,26,59,12,117,8,125
15,30,27,49,12,86,9,125
12,29,22,33,0,59,10,125
23,40,22,36,0,31,11,125
11,49,20,31,0,46,12,125
27,56,22,108,0,67,13,125
83,90,88,99,24,138,1,126
41,50,66,45,14,97,2,126
28,40,35,30,213,60,3,126
43,64,58,52,105,121,4,126
45,58,61,55,70,63,5,126
39,60,60,47,42,35,6,126
47,72,57,48,25,67,7,126
58,91,48,74,29,88,8,126
37,83,40,59,36,68,9,126
26,80,37,37,0,33,10,126
35,132,57,76,0,57,11,126
34,169,51,59,0,57,12,126
49,189,57,85,0,152,13,126
7,20,18,19,35,14,1,127
7,15,18,22,35,7,2,127
5,9,12,11,97,14,3,127
13,15,21,14,37,17,4,127
6,16,16,11,32,23,5,127
9,17,24,15,19,20,6,127
9,25,18,17,60,40,7,127
6,14,14,8,6,24,8,127
9,18,22,7,5,21,9,127
11,25,25,13,0,12,10,127
13,75,35,11,0,31,11,127
30,94,28,22,0,28,12,127
33,143,29,66,0,48,13,127
20,5,10,26,9,31,1,128
10,1,9,14,13,5,2,128
5,4,5,4,60,3,3,128
4,3,6,11,23,10,4,128
1,1,1,4,32,4,5,128
7,10,9,16,11,35,6,128
10,9,14,16,29,28,7,128
16,9,10,11,14,40,8,128
13,9,8,19,12,25,9,128
7,9,8,17,0,17,10,128
15,30,14,52,0,26,11,128
14,22,7,27,0,13,12,128
10,26,11,50,0,18,13,128
62,138,47,103,148,337,1,129
43,147,59,92,105,369,2,129
38,98,29,63,302,216,3,129
46,135,48,64,152,272,4,129
51,136,44,71,204,281,5,129
51,164,39,100,160,374,6,129
82,216,57,98,159,513,7,129
82,331,62,226,340,778,8,129
56,306,53,178,256,664,9,129
75,320,66,155,0,745,10,129
55,283,48,142,0,511,11,129
48,304,32,110,2,538,12,129
76,375,60,360,1,920,13,129
13,13,7,13,37,10,1,130
13,0,6,15,11,10,2,130
4,10,4,7,56,2,3,130
8,11,8,11,31,7,4,130
9,14,9,14,21,6,5,130
21,19,12,17,22,13,6,130
23,23,18,18,23,74,7,130
17,26,14,12,14,37,8,130
17,28,17,12,13,38,9,130
16,45,14,11,0,50,10,130
18,42,26,15,0,12,11,130
34,95,20,14,0,23,12,130
28,116,23,40,0,58,13,130
12,7,11,22,3,4,1,131
5,0,13,21,5,0,2,131
2,5,9,13,7,3,3,131
6,7,5,14,9,3,4,131
4,1,4,3,12,2,5,131
3,7,9,3,9,9,6,131
10,11,12,21,14,13,7,131
12,21,17,24,15,30,8,131
11,22,17,26,6,15,9,131
9,15,14,28,0,18,10,131
16,31,15,41,0,31,11,131
16,43,20,48,0,24,12,131
30,45,16,61,0,26,13,131
13,31,42,32,3,63,1,132
9,27,42,17,0,38,2,132
7,19,31,10,6,13,3,132
8,36,35,13,3,34,4,132
5,22,22,8,5,17,5,132
16,24,35,12,8,28,6,132
11,46,48,32,22,54,7,132
9,65,38,20,9,40,8,132
16,64,36,38,20,30,9,132
15,66,28,37,0,16,10,132
33,92,34,52,0,52,11,132
15,117,39,51,0,81,12,132
20,142,38,92,0,94,13,132
