@relation PUNJAB

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,
7,14,4,20,5,30,18
19,17,3,19,0,22,18
18,12,2,19,1,24,18
18,13,3,10,0,22,18
12,12,5,3,0,26,18
23,10,3,14,0,25,18
29,35,5,22,0,24,18
3,2,1,2,0,16,19
8,1,8,3,0,13,19
9,3,1,12,0,10,19
7,7,1,6,0,24,19
18,15,3,18,0,34,19
14,10,5,5,0,17,19
11,13,4,11,0,13,19
12,8,3,6,0,19,19
20,8,2,2,0,14,19
12,10,3,5,1,23,19
17,14,7,8,0,16,19
18,28,3,10,2,30,19
18,42,3,20,1,39,19
11,8,4,8,0,14,20
8,11,7,5,0,31,20
14,10,1,5,0,32,20
14,11,3,7,2,14,20
14,6,2,8,1,21,20
8,6,1,5,0,19,20
13,9,4,15,1,15,20
23,46,10,128,19,232,22
18,29,14,45,0,119,22
33,30,6,28,0,138,22
20,32,9,24,2,96,22
19,20,8,30,2,82,22
29,23,4,27,1,39,22
22,14,17,22,0,109,22
35,37,13,17,0,116,22
28,46,12,20,0,152,22
26,31,9,35,1,139,22
25,26,13,22,0,95,22
44,32,4,24,0,86,22
56,56,11,84,2,159,22
6,6,5,13,4,33,23
6,6,6,17,6,25,23
10,9,8,14,3,41,23
8,8,0,12,3,29,23
18,10,6,16,2,29,23
8,7,5,9,1,21,23
7,5,2,11,0,24,23
10,9,2,18,1,27,23
13,14,3,9,3,20,23
14,14,2,14,2,20,23
14,16,5,9,1,18,23
22,18,0,13,3,15,23
30,42,4,29,0,27,23
15,18,10,18,4,36,25
14,17,6,19,4,52,25
19,14,12,14,2,56,25
21,10,3,13,4,42,25
11,15,7,14,1,43,25
24,10,7,18,4,46,25
31,17,5,31,2,51,25
34,13,4,15,3,62,25
25,12,9,6,2,60,25
31,7,8,18,0,51,25
30,11,14,10,0,36,25
34,31,7,24,3,40,25
56,39,11,48,2,63,25
14,3,2,9,0,28,26
12,6,2,4,0,43,26
17,8,6,5,1,18,26
8,6,4,6,3,14,26
21,13,0,3,0,25,26
21,8,1,13,1,31,26
10,6,6,0,2,3,24
16,23,0,0,0,0,24
20,18,3,0,0,0,24
23,27,6,15,5,32,24
17,23,3,18,0,42,24
24,27,4,13,3,76,24
23,33,7,31,0,127,24
51,51,10,92,0,191,24
10,10,8,11,0,27,27
12,10,4,5,0,20,27
13,4,3,7,0,11,27
14,5,10,10,0,10,27
19,5,3,20,0,12,27
23,11,7,18,0,27,27
26,27,6,34,0,16,27
18,14,2,22,0,24,27
27,13,3,16,1,6,27
20,18,5,4,0,16,27
16,17,3,12,0,24,27
23,14,3,10,0,38,27
34,31,7,43,0,34,27
10,12,5,2,0,21,21
13,11,7,2,0,25,21
11,15,0,10,0,32,21
