@RELATION combined

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,63,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207}


@data
77,73,21,58,2,803,14
151,139,20,127,3,957,14
35,22,20,98,0,241,15
40,27,19,95,1,227,15
56,24,18,93,1,254,15
38,28,12,91,0,291,15
36,18,12,58,0,235,15
31,14,10,65,0,257,15
39,19,14,53,1,179,15
33,29,17,68,0,232,15
54,43,16,60,0,266,15
56,44,15,98,0,427,15
82,38,12,66,0,405,15
92,57,19,43,0,515,15
105,92,15,121,1,599,15
61,203,29,179,1,453,16
57,221,32,187,0,517,16
57,187,32,188,0,482,16
81,182,39,240,3,536,16
82,163,40,212,5,538,16
19,51,6,40,2,156,17
25,45,7,38,0,159,17
20,61,6,54,2,140,17
29,55,6,53,0,179,17
28,66,10,42,0,231,17
31,69,15,59,0,272,17
41,55,10,24,0,201,17
49,94,5,107,0,267,17
18,48,8,42,0,151,18
23,76,11,37,0,168,18
25,69,5,26,0,149,18
23,72,9,31,0,202,18
25,67,13,40,0,234,18
20,38,8,23,0,241,18
37,54,13,29,0,265,18
37,86,4,68,0,300,18
18,48,8,42,0,151,19
23,76,11,37,0,168,19
25,69,5,26,0,149,19
23,72,9,31,0,202,19
25,67,13,40,0,234,19
20,38,8,23,0,241,19
37,54,13,29,0,265,19
37,86,4,68,0,300,19
21,38,9,28,0,144,20
14,58,7,26,0,157,20
15,44,9,26,0,162,20
17,62,5,18,0,192,20
18,47,7,33,0,255,20
18,47,6,18,0,215,20
17,21,7,20,0,217,20
42,71,7,39,0,214,20
34,57,14,98,1,169,21
39,66,25,127,5,204,21
35,82,11,108,5,205,21
49,85,14,94,3,256,21
27,90,13,63,1,253,21
37,75,15,37,0,213,21
39,86,11,46,0,281,21
68,99,8,120,0,269,21
23,72,10,25,0,208,22
38,60,0,18,0,257,22
64,128,5,69,0,329,22
2,7,3,21,0,16,23
3,4,5,13,0,17,23
3,6,4,16,0,13,23
2,4,3,14,0,27,23
2,4,5,16,0,16,23
1,3,5,14,0,15,23
4,7,7,9,0,23,23
4,6,10,19,0,24,23
5,9,5,18,0,23,23
3,7,5,25,0,29,23
4,5,5,17,0,20,23
