,District,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
0,AMBALA,1,1,1,1,1,1,1,1,1,1,1,0,0
1,BHIWANI,1,0,1,0,1,0,1,1,1,1,1,1,0
2,FARIDABAD,0,0,0,0,0,0,0,0,1,0,1,1,1
3,FATEHABAD,1,1,1,1,1,1,1,1,1,1,1,1,1
4,GURUGRAM,1,1,1,0,1,1,0,1,1,0,0,1,1
5,HISAR,2,1,1,1,1,1,1,1,1,1,1,1,1
6,JHAJJAR,0,1,1,1,1,1,1,1,1,1,1,1,1
7,JIND,1,1,1,1,1,1,1,1,1,1,1,1,1
8,KAITHAL,1,1,1,1,1,1,1,1,1,1,1,1,1
9,KARNAL,0,1,1,1,0,0,0,0,0,0,1,1,1
10,KURUKSHETRA,1,1,1,1,1,1,1,1,1,1,1,1,1
11,MAHENDRAGARH,1,1,1,1,1,1,1,1,1,1,1,1,1
12,NUH,0,0,0,0,1,1,0,1,1,1,1,1,1
13,PALWAL,0,0,0,0,0,1,1,1,1,1,1,1,1
14,PANCHKULA,1,1,1,1,1,1,1,1,1,1,1,1,1
15,PANIPAT,1,0,0,0,1,1,1,1,0,1,0,0,0
16,REWARI,1,1,1,1,1,1,1,1,1,1,1,1,1
17,ROHTAK,1,1,1,1,1,0,1,1,1,1,1,1,1
18,SIRSA,1,1,1,1,1,1,1,1,1,1,1,1,1
19,SONIPAT,1,1,1,1,1,0,1,0,1,1,1,0,0
20,YAMUNANAGAR,1,1,1,1,1,1,1,1,1,1,1,1,1
21,AMRITSAR,1,1,1,1,1,1,2,1,1,2,2,2,0
22,BARNALA,1,1,1,1,1,1,1,1,1,1,1,1,1
23,BATHINDA,1,1,1,1,1,1,1,1,1,1,1,1,1
24,FARIDKOT,1,1,1,1,1,1,1,1,1,1,1,1,1
25,FATEGARH SAHIB,1,1,1,1,1,1,1,1,1,1,1,1,1
26,FAZILKA,0,0,0,0,0,0,0,0,0,0,1,1,1
27,FIROZPUR,1,1,1,1,0,0,0,0,0,0,0,0,0
28,GURDASPUR,1,1,1,1,1,1,1,1,1,1,1,1,1
29,HOSHIARPUR,1,1,1,1,1,1,1,1,1,1,1,1,1
30,JALANDHAR,1,1,1,1,1,1,1,1,1,2,2,2,0
31,KAPURTHALA,1,1,1,1,1,1,1,1,1,1,1,1,1
32,LUDHIANA,1,0,1,0,0,1,1,2,2,2,2,2,0
33,MANSA,1,1,1,1,1,1,1,1,1,1,1,1,1
34,MOGA,1,1,1,1,1,1,1,1,1,1,1,1,1
35,MUKTSAR,1,1,1,1,1,1,1,1,1,1,1,1,1
36,PATHANKOT,0,0,0,0,0,0,0,0,0,0,1,1,2
37,PATIALA,1,1,1,1,1,1,1,1,1,1,1,1,1
38,RUPNAGAR,1,1,1,1,1,1,1,1,1,1,1,1,1
39,SAHIBZADA AJIT SINGH NAGAR,0,0,0,0,0,1,1,1,1,1,1,1,1
40,SANGRUR,1,1,1,1,1,1,1,1,1,1,1,1,1
41,SHAHEED BHAGAT SINGH NAGAR,0,0,0,0,0,0,0,1,1,1,1,1,1
42,TARN TARAN,1,1,1,1,1,1,1,1,1,1,1,1,1
43,AJMER ,1,0,0,0,1,1,1,0,0,1,1,1,1
44,ALWAR,0,0,0,0,0,1,0,1,1,1,0,1,1
45,BANASWARA,1,1,0,1,1,1,1,1,1,1,1,1,1
46,BARAN,1,0,0,0,0,1,1,1,1,1,1,1,1
47,BARMER,1,1,1,1,1,1,1,1,1,1,1,1,1
48,BHARATPUR,0,0,0,0,0,1,0,1,1,1,1,1,1
49,BHILWARA,0,0,0,0,0,1,1,1,1,1,1,1,1
50,BIKANER,1,1,1,0,1,1,1,1,1,1,1,1,1
51,BUNDI,0,1,0,0,0,1,1,1,1,1,1,1,1
52,CHITTORGRAH,1,1,1,1,1,1,1,1,1,1,1,1,1
53,CHURU,1,1,1,1,1,1,1,1,1,0,1,1,1
54,DAUSA,1,1,1,1,1,1,1,1,1,1,1,1,1
55,DHAULPUR ,1,0,1,1,1,1,1,1,0,1,1,0,0
56,DUNGAPUR,1,1,1,1,1,1,1,1,1,1,1,1,1
57,HAMUNANGARH,0,0,0,0,1,1,1,1,1,1,1,1,1
58,JAIPUR,0,0,0,0,1,4,4,4,4,4,5,4,5
59,JAISALMER,1,1,1,1,1,1,1,1,1,1,1,1,1
60,JALOR,1,1,1,1,1,1,1,1,1,1,1,1,1
61,JHALAWAR,1,1,0,0,1,1,1,1,1,1,1,1,1
62,JHUNJHUNUN,1,1,1,1,1,0,1,0,1,1,0,0,1
63,JODHPUR,1,0,1,1,1,1,1,1,1,1,1,3,3
64,KARAULI,1,1,1,0,1,1,1,1,0,1,1,1,1
65,KOTA,0,1,1,0,1,2,2,2,2,2,2,2,1
66,NAGUAR,1,0,1,1,1,1,1,1,1,1,1,1,1
67,PALI,1,1,1,1,1,1,1,1,1,1,1,1,1
68,PRATAPGARH,0,0,0,0,0,0,0,1,1,1,1,1,1
69,RAJSAMAND,1,1,1,1,1,1,1,1,1,1,1,1,1
70,SAWAI MADHOPUR,1,1,1,1,1,1,1,1,1,1,1,1,1
71,SIKAR,1,1,1,1,1,1,1,1,1,1,0,1,1
72,SIROHI,1,1,1,1,1,1,1,1,1,1,1,1,1
73,SRI GANGANAGAR,0,0,1,0,0,0,1,1,1,1,1,1,1
74,TONK,1,1,1,1,1,1,1,1,1,1,1,1,1
75,UDAIPUR,0,0,1,1,0,1,1,1,1,1,1,1,1
